Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,1132.150024,1132.650024,911.750000,981.950012,838.622742,12325478
2018-09-25,984.000000,984.000000,786.000000,929.650024,793.956482,24448299
2018-09-26,947.000000,1022.599976,930.000000,999.799988,853.867249,13834876
2018-09-27,986.000000,995.000000,922.000000,939.700012,802.539551,10590892
2018-09-28,934.000000,943.650024,832.000000,856.849976,731.782532,12049056
2018-10-01,860.200012,964.000000,805.000000,906.099976,773.843872,14879979
2018-10-03,900.000000,1003.900024,880.500000,943.950012,806.169250,12595878
2018-10-04,916.000000,959.000000,897.099976,950.250000,811.549622,7202226
2018-10-05,951.500000,989.599976,886.500000,911.700012,778.626404,6345064
2018-10-08,898.650024,955.000000,885.000000,940.150024,802.923889,8983815
2018-10-09,950.000000,978.000000,923.400024,946.299988,808.176208,4631794
2018-10-10,964.400024,988.849976,945.000000,978.250000,835.462830,6880113
2018-10-11,919.000000,935.500000,860.650024,891.700012,761.545837,9345760
2018-10-12,912.000000,941.900024,912.000000,931.950012,795.920776,4833500
2018-10-15,941.250000,960.000000,935.599976,948.900024,810.396729,5057939
2018-10-16,950.000000,976.799988,896.400024,907.349976,774.911438,9837395
2018-10-17,911.900024,920.000000,777.200012,788.650024,673.537109,19101381
2018-10-19,770.000000,770.500000,639.049988,653.799988,558.370117,37798701
2018-10-22,663.000000,738.799988,663.000000,713.150024,609.057251,27710575
2018-10-23,694.500000,770.900024,683.900024,734.650024,627.419128,17627093
2018-10-24,752.700012,778.900024,725.599976,743.299988,634.806458,13779935
2018-10-25,729.049988,730.000000,683.150024,689.099976,596.543213,12473797
2018-10-26,691.000000,722.250000,645.250000,683.900024,592.041626,13434156
2018-10-29,697.000000,781.400024,695.099976,771.549988,667.918945,9456370
2018-10-30,772.000000,804.750000,753.349976,769.150024,665.841309,7582149
2018-10-31,771.700012,841.400024,769.049988,834.599976,722.500366,11981392
2018-11-01,840.200012,875.849976,836.150024,850.450012,736.221497,7164759
2018-11-02,860.150024,880.000000,856.099976,870.900024,753.924683,5275773
2018-11-05,866.000000,870.900024,800.549988,834.099976,722.067505,9179345
2018-11-06,840.400024,852.000000,816.250000,829.099976,717.739136,5193529
2018-11-07,835.200012,842.900024,828.099976,831.900024,720.162964,594736
2018-11-09,834.000000,865.400024,822.500000,862.150024,746.350037,4066354
2018-11-12,863.000000,879.950012,850.099976,865.250000,749.033569,5350762
2018-11-13,859.000000,864.950012,838.150024,841.950012,728.863098,3447971
2018-11-14,851.000000,854.900024,835.049988,839.299988,726.568970,2957482
2018-11-15,839.950012,846.549988,784.000000,804.849976,696.746216,6237078
2018-11-16,808.400024,816.700012,755.099976,766.200012,663.287537,11093142
2018-11-19,759.599976,776.000000,729.700012,733.799988,635.239319,8991775
2018-11-20,725.549988,743.900024,700.000000,706.599976,611.692688,12046063
2018-11-21,725.000000,725.000000,694.000000,705.349976,610.610657,9793723
2018-11-22,709.000000,729.950012,700.150024,705.700012,610.913696,9869013
2018-11-26,710.000000,718.200012,696.400024,702.650024,608.273254,5566797
2018-11-27,704.000000,715.000000,690.150024,698.450012,604.637390,5232956
2018-11-28,689.599976,703.849976,678.000000,692.349976,599.356750,7307535
2018-11-29,700.000000,708.000000,690.200012,701.250000,607.061340,5593199
2018-11-30,718.950012,725.000000,708.099976,715.599976,619.483887,9162147
