MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,YU,SHRIRAMFIN,SEC RED NCD SR. VII,      1543.00,      1556.00,      1558.00,      1549.00,      1549.50,                  3229269.36,2084, ,22,      1790.00,      1356.01
N,YV,SHRIRAMFIN,SEC RED NCD 9.12% SR. I,      1007.00,      1006.00,      1006.00,      1002.00,      1006.00,                    65350.00,65, ,5,      1115.00,       906.00
N,YW,SHRIRAMFIN,SEC RED NCD 9.30% SR. II,      1040.00,      1025.00,      1031.00,      1020.00,      1031.00,                   195781.80,191, ,11,      1145.00,      1015.00
N,YX,IBULHSGFIN,SEC RE NCD SR.II,      1034.01,      1034.02,      1034.02,      1034.02,      1034.02,                    25850.50,25, ,1,      1069.00,       764.00
N,YY,SHRIRAMFIN,SEC RED NCD 9.50% SR. IV,      1049.00,      1040.44,      1040.44,      1040.44,      1040.44,                    10404.40,10, ,1,      1290.00,      1000.01
N,YZ,IBULHSGFIN,SEC RE NCD 8.70% SR.III,       960.00,       977.00,       977.00,       977.00,       977.00,                     4885.00,5, ,1,      1110.00,       890.00
N,Z3,IBULHSGFIN,SEC RE NCD SR.V,      1047.00,      1044.00,      1044.00,      1044.00,      1044.00,                     5220.00,5, ,1,      1072.00,       800.00
N,Z4,SHRIRAMFIN,SEC RED NCD 9.22% SR.II,      1020.00,      1019.50,      1020.00,      1019.50,      1020.00,                     8158.00,8, ,2,      1198.00,       971.01
N,Z9,IBULHSGFIN,SEC RE NCD 9.15% SR.VIII,       990.00,       982.00,       982.00,       982.00,       982.00,                     9820.00,10, ,1,      1024.95,       815.45
N,ZD,IBULHSGFIN,SEC RE NCD SR.II,      1000.00,      1000.00,      1020.00,      1000.00,      1020.00,                    18160.00,18, ,7,      1020.00,       907.00
N,ZS,IBULHSGFIN,SEC RE NCD SR.III,      1055.00,      1021.51,      1021.51,      1021.00,      1021.00,                    82703.55,81, ,5,      1055.00,       900.00
